Frame Time,Row,Column,Well,ImageRep,UniqueID,Flask ID,CellCount.BF.Count,Cell Count,Treatment,Day,Note
10.23797,H,2,H2,2,H2-2,T2,8,800,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
10.83897,H,2,H2,3,H2-3,T2,63,6300,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
11.51098,H,2,H2,4,H2-4,T2,1,100,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
12.14099,H,2,H2,5,H2-5,T2,91,9100,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
13.54698,H,3,H3,1,H3-1,T3,2,200,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
14.16999,H,3,H3,2,H3-2,T3,78,7800,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
14.74299,H,3,H3,3,H3-3,T3,33,3300,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
15.37497,H,3,H3,4,H3-4,T3,9,900,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
16.04397,H,3,H3,5,H3-5,T3,3,300,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
17.60598,H,4,H4,1,H4-1,T4,5,500,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
18.258,H,4,H4,2,H4-2,T4,14,1400,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
18.89497,H,4,H4,3,H4-3,T4,11,1100,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
19.49299,H,4,H4,4,H4-4,T4,20,2000,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
20.12699,H,4,H4,5,H4-5,T4,52,5200,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
21.50497,H,5,H5,1,H5-1,T5,18,1800,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
22.19099,H,5,H5,2,H5-2,T5,3,300,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
22.76198,H,5,H5,3,H5-3,T5,1,100,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
23.443,H,5,H5,4,H5-4,T5,7,700,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
24.06497,H,5,H5,5,H5-5,T5,2,200,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
25.39198,H,6,H6,1,H6-1,T6,32,3200,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
25.97797,H,6,H6,2,H6-2,T6,62,6200,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
26.50998,H,6,H6,3,H6-3,T6,14,1400,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
27.13898,H,6,H6,4,H6-4,T6,12,1200,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
27.68897,H,6,H6,5,H6-5,T6,6,600,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
28.98797,H,7,H7,1,H7-1,T7,12,1200,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
29.60499,H,7,H7,2,H7-2,T7,31,3100,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
